Protein,AT5G17690,AT5G176901,AT2G23380,AT2G23380 1,WT
AT3G44310,789,311,792,367,409
AT5G52040,835,578,691,549,17
AT4G25500,704,473,534,415,11
AT3G08590,145,140,234,169,129
ATCG00490,150,136,207,195,168
AT2G23380,51,52,151,141,0
AT4G35630,83,63,119,86,60
AT3G15730,73,65,108,94,73
AT5G38420,54,49,94,64,55
AT3G44320,81,52,85,69,60
AT1G36160,66,72,83,93,80
AT1G67090,49,47,82,67,49
AT5G02500,70,63,78,88,74
AT4G10320,82,84,76,76,44
AT3G44690,66,62,76,81,55
AT3G44300,63,51,70,67,62
AT1G09780,44,48,70,58,44
AT1G56070,59,58,66,63,53
AT4G20850,43,54,66,70,60
AT2G17630,50,40,64,48,42
AT5G38430,31,37,64,53,45
AT3G09440,53,52,63,68,61
AT5G26710,53,57,60,59,41
AT3G20740,38,34,58,59,0
AT4G29270,29,29,58,52,39
AT1G19480,54,53,57,59,48
AT1G55490,44,42,57,54,46
AT5G26000,36,32,55,52,36
AT3G13470,44,44,54,51,46
AT3G09840,47,56,53,57,54
AT5G62690,42,50,53,50,44
AT5G62700,42,50,53,50,44
AT1G69830,39,41,53,48,43
AT3G12580,43,39,52,55,48
AT3G52930,40,48,52,54,40
AT5G28540,43,41,51,56,40
AT1G52570,34,30,51,49,39
AT1G20620,31,31,51,49,34
AT5G42020,41,42,50,49,41
AT2G29550,40,47,49,47,43
AT5G25980,34,33,49,58,50
AT2G21390,38,39,48,54,38
AT1G57720,37,39,48,46,38
AT1G48120,36,39,47,54,61
AT5G23860,36,46,45,46,40
AT3G45140,30,35,45,47,34
AT1G62020,33,36,44,51,37
AT3G09820,26,28,43,42,38
AT5G02490,39,38,42,50,47
AT3G03540,35,36,42,39,25
AT5G51230,34,36,42,47,0
AT1G30230,33,24,42,32,23
AT5G58230,47,38,41,41,9
AT3G23990,33,40,41,44,43
AT3G13490,31,25,41,40,38
AT2G20580,30,39,41,42,38
AT2G36880,27,36,41,43,32
AT2G28000,39,39,40,43,36
AT5G56500,35,34,40,44,39
AT4G28520,0,0,40,46,0
AT2G46280,36,29,39,36,26
AT5G27640,36,40,39,48,32
AT3G59770,28,28,39,45,0
AT5G44340,28,36,39,37,34
AT2G40660,44,53,38,48,27
AT3G11910,33,35,38,37,27
AT1G70320,32,33,38,37,36
AT1G71080,32,35,38,31,28
AT5G25780,31,36,37,44,29
AT5G12250,29,39,37,38,29
AT4G20890,26,35,37,36,33
AT2G34160,31,18,36,23,22
AT1G53310,29,38,36,47,37
AT2G33210,28,33,36,42,35
AT3G59970,22,26,36,37,27
AT1G78900,31,32,35,42,36
AT5G03340,31,38,35,39,41
AT5G03300,25,21,35,33,34
AT1G80070,23,25,35,30,24
AT5G17920,19,24,35,45,41
AT4G16143,68,66,34,31,9
AT1G29250,32,20,34,24,22
AT2G42600,31,34,34,50,44
AT4G24280,31,29,34,34,28
AT1G64880,28,50,34,49,18
AT1G20010,27,35,34,33,27
AT4G37800,25,23,34,31,26
AT5G65730,35,24,33,26,21
AT1G71220,34,37,33,53,38
AT2G39730,28,27,33,31,26
AT4G33010,21,33,33,43,30
AT5G20010,16,17,33,24,15
AT3G17390,24,28,32,33,24
AT5G20890,24,24,32,38,28
AT5G35360,23,23,32,27,26
AT4G30200,0,2,32,30,0
AT5G26360,23,25,31,33,26
AT4G35090,21,21,31,26,30
AT2G29560,19,27,31,28,27
AT5G11530,33,38,30,26,0
AT4G33680,21,19,30,32,26
AT5G20020,16,14,30,17,10
AT5G17690,295,200,29,31,0
AT5G09810,22,18,29,31,27
AT4G09000,20,21,29,26,15
AT5G35630,19,23,29,28,27
AT2G41740,18,24,29,31,27
AT2G36530,11,19,29,29,27
AT1G52400,24,26,28,29,16
AT3G05900,23,24,28,38,28
AT1G20960,17,28,28,29,23
AT3G26650,17,21,28,23,22
AT5G49910,28,29,27,26,25
AT1G02500,26,30,27,35,22
AT1G75780,22,29,27,29,23
AT1G04410,18,19,27,29,22
AT2G36460,17,25,27,29,22
AT1G07890,16,18,27,21,21
AT3G56150,14,19,27,27,13
AT4G38970,13,15,27,26,29
AT1G09640,27,31,26,31,27
AT4G37910,25,30,26,30,24
AT5G06600,25,37,26,29,16
AT1G42970,24,23,26,29,21
AT1G04820,23,25,26,27,21
AT1G50010,23,25,26,27,21
AT4G13940,23,22,26,28,26
AT2G32730,21,26,26,29,24
AT1G20200,20,23,26,29,23
AT1G29900,20,23,26,26,24
AT1G07920,19,28,26,28,28
AT1G07930,19,28,26,28,28
AT1G07940,19,28,26,28,28
AT1G52030,19,20,26,33,26
AT1G79920,19,21,26,26,23
AT5G60390,19,28,26,28,28
AT5G09590,18,25,26,26,21
AT5G60100,16,17,26,23,8
AT1G35160,15,15,26,19,11
AT5G35200,13,18,26,23,18
AT3G05530,28,24,25,26,23
AT1G15750,25,32,25,24,29
AT4G01850,25,28,25,30,23
AT3G04120,22,21,25,22,23
AT5G19510,22,22,25,22,13
AT2G05920,21,32,25,29,21
AT3G57290,21,26,25,23,19
AT2G28290,20,21,25,27,23
AT3G01500,18,19,25,22,22
AT1G52360,16,23,25,30,18
AT3G03780,16,20,25,33,30
AT1G48410,14,15,25,27,21
AT1G22300,13,16,25,25,15
AT5G49460,12,16,25,18,18
AT4G14960,23,23,24,28,21
AT1G13440,22,21,24,22,22
AT5G11710,22,32,24,30,28
AT3G12110,18,16,24,23,23
AT1G79930,17,21,24,27,28
ATCG00480,17,19,24,21,18
AT1G78570,16,23,24,28,21
AT2G26080,16,26,24,33,29
AT1G78300,13,16,24,21,15
AT2G23390,12,16,24,20,18
AT5G61780,12,16,24,23,23
AT5G63840,11,19,24,31,19
AT5G44120,0,0,24,20,0
AT5G56010,24,24,23,33,24
AT5G02790,19,23,23,23,26
AT5G66420,19,23,23,31,20
AT3G15980,17,19,23,24,15
AT3G20050,17,16,23,23,20
AT1G12900,16,18,23,20,20
AT4G31480,16,22,23,34,23
AT5G14240,13,13,23,14,12
AT5G04140,12,17,23,24,29
AT3G06650,11,17,23,20,18
AT1G53750,24,22,22,23,23
AT4G28470,22,22,22,25,24
AT5G56030,22,21,22,32,24
AT3G03960,19,23,22,26,21
AT3G18190,19,23,22,28,20
AT5G58290,19,19,22,28,17
AT1G55860,18,21,22,24,23
AT3G11830,18,20,22,22,22
AT3G14940,18,20,22,29,25
AT3G58510,18,19,22,22,15
AT4G31490,16,22,22,35,21
AT2G21660,15,16,22,16,12
AT3G12145,15,18,22,23,17
AT2G37620,14,11,22,16,19
AT3G53750,14,11,22,16,19
AT1G80410,12,19,22,25,26
AT2G37040,11,13,22,23,18
AT5G01600,11,12,22,16,11
AT3G59430,57,58,21,21,0
AT1G09100,23,20,21,22,19
AT3G63460,23,23,21,22,21
AT5G56000,20,22,21,30,22
AT3G53030,19,17,21,17,0
AT5G19990,19,19,21,28,21
AT5G20000,19,18,21,28,20
AT2G38040,18,26,21,28,26
AT3G46520,15,11,21,19,20
AT5G59370,15,11,21,19,20
AT2G20140,14,17,21,19,17
AT3G55760,14,17,21,24,13
AT3G57410,14,19,21,24,21
AT4G29040,14,17,21,19,17
AT5G38480,13,10,21,18,11
AT2G27040,10,13,21,23,26
AT2G24270,9,12,21,17,18
AT3G55200,9,13,21,20,20
AT3G55220,9,13,21,20,20
AT5G20830,7,11,21,27,22
AT1G72370,23,20,20,13,17
AT2G18110,20,14,20,20,13
AT5G20290,18,19,20,18,23
AT3G13860,17,19,20,22,19
AT5G42790,17,20,20,20,17
AT1G06220,15,14,20,21,20
AT4G11420,15,21,20,24,18
AT5G11170,15,17,20,23,15
AT1G24510,14,16,20,20,19
AT2G44160,14,16,20,19,20
AT5G19770,14,20,20,22,19
AT5G19780,14,20,20,22,19
AT1G35580,13,23,20,23,18
AT2G17360,12,15,20,15,14
AT3G62120,12,13,20,18,12
AT5G07090,12,15,20,15,14
AT5G58420,12,15,20,15,14
AT1G32060,11,21,20,21,24
AT3G02110,11,10,20,19,19
AT1G26630,10,12,20,16,13
AT1G08200,9,14,20,17,16
AT3G06720,42,52,19,22,3
AT1G80490,18,23,19,18,20
AT1G16030,16,16,19,22,16
AT1G49240,16,16,19,21,16
AT3G02520,16,15,19,22,15
AT3G18780,16,16,19,21,16
AT1G20630,15,15,19,21,25
AT3G43300,15,15,19,15,15
AT5G11200,15,16,19,20,14
AT5G19550,14,17,19,18,26
AT2G21330,11,16,19,19,17
AT3G03250,10,11,19,16,16
AT1G09620,9,13,19,15,20
AT1G11860,7,13,19,17,19
AT1G53850,17,16,18,17,17
AT3G02530,17,23,18,24,23
AT3G11400,17,13,18,11,7
AT5G43330,16,13,18,19,18
AT4G05420,15,16,18,22,13
AT5G35590,15,20,18,18,11
AT1G56450,14,12,18,12,14
AT3G16470,14,14,18,20,18
AT3G23810,14,16,18,24,20
AT4G21280,14,13,18,11,15
AT2G33150,13,12,18,18,13
AT1G47128,12,14,18,18,12
AT4G26110,11,9,18,22,0
AT1G18080,10,14,18,22,18
AT2G27860,10,12,18,18,16
AT1G30630,8,9,18,15,9
AT2G19480,8,13,18,21,0
AT5G65770,7,10,18,15,14
AT5G65780,7,10,18,15,14
AT4G34450,6,12,18,24,14
AT1G03880,0,0,18,18,0
AT3G60240,19,19,17,16,18
AT2G04030,18,21,17,21,23
AT5G30510,18,12,17,16,13
AT5G16050,15,15,17,20,12
AT5G25754,15,20,17,16,16
AT5G25757,15,20,17,16,16
AT1G68560,14,9,17,15,13
AT5G43940,13,12,17,18,25
AT1G65960,12,16,17,23,13
AT5G43990,12,16,17,19,15
AT5G08670,11,8,17,11,18
AT5G08680,11,8,17,11,18
AT5G08690,11,8,17,11,18
AT1G30580,10,13,17,15,11
AT3G19170,10,19,17,24,20
AT4G08390,10,10,17,16,10
AT3G09880,9,10,17,15,11
AT3G55870,9,13,17,21,15
AT1G79210,7,16,17,19,17
AT1G48630,5,12,17,13,13
AT2G19520,24,25,16,18,12
AT3G16830,21,23,16,17,14
AT3G03530,18,12,16,15,11
AT3G13460,17,10,16,11,15
AT1G12910,16,16,16,24,16
AT5G16070,16,21,16,21,19
AT3G12915,15,21,16,18,16
AT4G01290,15,23,16,17,13
AT1G23310,13,13,16,21,15
AT2G39800,13,17,16,18,20
AT2G42520,13,14,16,17,8
AT3G14290,13,16,16,16,15
AT5G60160,13,11,16,12,14
AT4G39260,12,12,16,14,11
AT1G50370,11,13,16,17,10
AT1G75990,11,20,16,22,18
AT2G19070,11,7,16,13,8
AT2G23350,11,11,16,19,13
AT1G19570,10,11,16,24,20
AT3G18060,10,15,16,20,18
AT4G26530,10,10,16,21,10
AT5G56360,9,11,16,11,10
AT1G13880,8,17,16,20,11
AT2G47510,8,10,16,17,13
AT1G16470,7,16,16,20,17
AT4G00570,7,17,16,17,7
AT1G14810,5,6,16,13,14
AT5G12110,17,9,15,9,7
AT1G20260,16,14,15,21,20
AT1G76030,16,14,15,21,20
AT5G20720,15,18,15,17,14
ATCG00500,15,18,15,20,24
AT1G45000,14,16,15,17,13
AT4G38510,14,13,15,19,15
AT1G29150,13,17,15,17,14
AT1G47250,13,14,15,14,11
AT3G11630,13,16,15,17,9
AT5G66140,13,14,15,21,14
AT1G04810,12,15,15,14,15
AT1G17720,12,16,15,19,11
AT5G47210,12,6,15,9,10
AT3G19980,9,12,15,18,9
AT4G34110,9,12,15,13,14
AT2G01140,8,9,15,15,12
AT4G29060,8,8,15,20,12
AT1G21750,7,8,15,15,9
AT4G14800,7,6,15,12,11
AT5G40270,7,18,15,20,22
AT3G18130,6,10,15,12,11
AT5G62790,6,4,15,12,14
AT4G38130,19,17,14,18,12
AT5G66190,19,17,14,19,19
AT3G04620,15,4,14,6,7
AT4G18040,15,19,14,18,7
AT5G08450,15,16,14,14,15
AT2G05840,14,18,14,16,12
AT2G42500,14,14,14,11,11
AT1G20020,13,13,14,11,13
AT3G55800,13,12,14,14,12
AT5G43010,13,15,14,16,13
AT5G10450,12,11,14,16,10
AT1G79990,11,12,14,17,12
AT2G47110,11,10,14,15,18
AT3G42170,11,13,14,14,14
AT3G62250,11,10,14,15,18
AT4G23920,11,13,14,17,17
AT5G01410,11,10,14,13,11
AT5G02240,11,13,14,15,16
AT5G15490,11,11,14,16,12
AT5G65430,11,10,14,14,9
AT4G24820,10,14,14,12,16
AT4G33250,10,15,14,15,8
AT2G17420,9,7,14,9,6
AT4G31990,9,10,14,11,15
AT5G14740,9,10,14,14,14
AT5G66760,9,10,14,18,9
AT1G43170,8,10,14,14,13
AT1G53500,8,14,14,16,13
AT1G69740,8,15,14,13,18
AT3G14790,8,13,14,18,12
AT3G52150,8,7,14,8,8
AT4G16130,7,8,14,18,11
AT5G67320,7,11,14,15,0
AT1G50200,6,10,14,18,19
AT5G16440,6,5,14,14,9
AT2G27020,16,12,13,18,16
AT3G58500,14,14,13,12,11
AT1G26110,13,12,13,15,5
AT1G27090,12,13,13,20,14
AT3G51260,12,15,13,20,14
AT5G43960,11,17,13,19,16
AT1G05460,10,13,13,14,14
AT2G38230,10,8,13,11,11
AT2G42910,10,7,13,12,11
AT3G60820,10,16,13,16,11
AT4G27000,10,11,13,14,12
AT4G37930,10,12,13,13,13
AT5G36160,10,11,13,16,10
AT1G80480,9,8,13,9,8
AT2G37660,9,9,13,11,11
AT2G16600,8,10,13,16,12
AT3G48000,8,9,13,14,10
AT4G02930,8,10,13,19,15
AT5G42970,8,9,13,14,13
AT1G21540,5,8,13,13,9
AT3G03380,5,11,13,14,12
AT5G17310,5,7,13,13,15
AT5G24710,3,7,13,11,6
AT4G27150,0,0,13,11,0
AT5G40450,0,2,13,11,14
AT1G10840,14,10,12,9,10
AT1G60420,13,9,12,13,4
AT1G64520,13,14,12,15,15
AT2G40840,12,10,12,15,14
AT3G14067,12,10,12,12,16
AT3G29360,12,14,12,20,14
AT1G64790,11,15,12,17,21
AT2G42590,11,11,12,17,8
AT3G22960,11,14,12,14,16
AT4G18480,11,13,12,12,17
AT4G24190,11,12,12,13,20
AT4G38680,11,14,12,25,12
AT1G21630,10,10,12,11,8
AT3G23600,10,10,12,10,12
AT4G01310,10,9,12,12,11
AT5G22330,10,10,12,11,6
AT5G39320,10,9,12,13,10
AT1G12310,9,12,12,10,10
AT1G54270,9,9,12,13,15
AT2G05990,9,10,12,17,16
AT2G47940,9,11,12,16,10
AT3G01340,9,12,12,11,11
AT4G39980,9,6,12,10,10
AT5G42980,9,9,12,11,11
AT5G52920,9,5,12,18,18
AT1G18450,8,11,12,14,14
AT3G13920,8,9,12,13,14
AT4G09510,8,15,12,20,15
AT4G13430,8,11,12,12,12
AT5G39570,8,6,12,14,7
AT5G48300,8,9,12,9,11
AT1G29880,7,7,12,16,17
AT2G30110,7,8,12,12,9
AT4G31180,7,7,12,15,18
AT5G05730,7,8,12,10,10
AT1G16350,6,9,12,13,6
AT1G60710,6,11,12,14,11
AT2G40490,6,12,12,14,10
AT5G59290,6,8,12,14,12
AT4G20360,5,12,12,13,14
AT5G24520,5,9,12,13,7
AT5G11520,3,6,12,13,18
AT5G15650,3,10,12,13,13
AT3G24440,0,0,12,17,0
AT4G27160,0,0,12,11,0
AT4G27170,0,0,12,10,0
AT1G09270,23,29,11,10,0
AT3G12780,11,12,11,12,16
AT3G16640,11,9,11,11,8
AT3G55610,11,14,11,15,13
AT5G53620,11,13,11,11,17
AT1G64740,10,11,11,13,11
AT3G26060,10,11,11,11,11
AT4G00490,10,7,11,14,14
AT4G34860,10,7,11,14,10
AT1G09340,9,7,11,8,13
AT3G04600,9,6,11,11,13
AT5G06850,9,10,11,11,8
AT1G49760,8,8,11,12,13
AT3G54760,8,15,11,16,7
AT3G62530,8,12,11,11,9
AT5G59160,8,7,11,12,5
AT1G76010,7,9,11,14,9
AT2G04842,7,7,11,11,5
AT4G30160,7,7,11,12,10
AT5G23540,7,14,11,12,12
AT5G48880,7,8,11,14,9
AT5G50920,7,10,11,10,15
AT5G60790,7,10,11,13,8
AT2G47470,6,7,11,14,8
AT3G22110,6,11,11,18,12
AT3G27740,6,9,11,9,11
AT3G52140,6,12,11,16,10
AT4G04950,6,9,11,13,10
AT4G05180,6,5,11,11,11
AT5G06290,6,8,11,12,7
AT5G47010,6,9,11,7,3
AT5G64370,6,9,11,13,10
AT1G58380,5,6,11,9,7
AT1G58684,5,6,11,9,7
AT1G58983,5,6,11,9,7
AT1G59359,5,6,11,9,7
AT2G19570,4,7,11,10,5
AT4G15210,4,6,11,12,17
AT4G23600,4,8,11,14,11
AT5G51660,4,9,11,13,9
AT1G74260,3,6,11,15,14
AT5G49650,3,3,11,11,12
AT5G13520,2,8,11,13,15
AT5G56950,2,3,11,12,0
AT2G21250,0,0,11,10,8
AT3G02230,0,10,11,14,13
AT5G27030,13,15,10,12,11
AT5G63110,12,12,10,16,8
ATCG00120,12,12,10,11,9
AT1G13060,11,9,10,14,7
AT1G48600,10,11,10,15,12
AT1G74470,10,8,10,10,6
AT3G48560,10,10,10,15,16
AT4G21100,10,7,10,14,9
AT5G36880,10,12,10,12,12
AT1G22920,9,15,10,15,12
AT1G71840,9,9,10,10,9
AT3G47520,9,10,10,14,10
AT3G53260,9,12,10,11,13
AT3G58570,9,11,10,11,5
AT5G67630,9,7,10,10,11
AT1G31340,8,7,10,12,11
AT2G13540,8,7,10,9,5
AT2G35635,8,0,10,12,11
AT3G15190,8,8,10,10,9
AT4G24510,8,8,10,13,5
AT5G09650,8,10,10,17,13
ATCG00900,8,9,10,8,6
ATCG01240,8,9,10,8,6
AT1G04170,7,10,10,9,10
AT1G06000,7,10,10,15,11
AT1G12520,7,8,10,9,8
AT1G59830,7,7,10,7,4
AT1G62750,7,10,10,19,18
AT2G37690,7,11,10,18,18
AT2G42100,7,3,10,9,7
AT3G02780,7,4,10,7,7
AT5G07350,7,7,10,11,17
AT1G02050,6,6,10,9,6
AT1G22780,6,7,10,6,7
AT1G23740,6,7,10,11,8
AT1G34030,6,7,10,6,7
AT1G65440,6,6,10,13,0
AT1G74030,6,9,10,9,12
AT1G79530,6,7,10,7,7
AT2G33340,6,6,10,10,9
AT3G03570,6,8,10,11,9
AT3G04840,6,5,10,11,6
AT3G12800,6,4,10,7,4
AT3G25230,6,7,10,18,17
AT3G53110,6,4,10,6,7
AT4G09010,6,8,10,14,11
AT4G09800,6,7,10,6,7
AT5G08640,6,8,10,10,8
AT5G09900,6,9,10,10,9
AT3G09630,5,7,10,9,11
AT3G55700,5,6,10,9,11
AT4G21650,5,4,10,8,7
AT4G23670,5,5,10,9,10
AT5G02870,5,8,10,9,8
AT5G20280,5,6,10,10,8
AT5G54900,5,8,10,9,6
AT2G27880,4,2,10,9,9
AT1G65450,3,5,10,12,10
AT3G52880,3,3,10,10,7
AT4G22930,3,2,10,9,8
AT4G37870,3,5,10,14,15
AT5G22780,3,10,10,12,10
AT2G24200,2,5,10,8,10
AT4G20050,2,6,10,9,14
AT3G01780,0,3,10,16,11
AT3G06580,0,0,10,11,6
AT3G22640,0,0,10,11,0
AT5G57655,0,3,10,16,14
AT3G50670,16,13,9,9,3
AT3G14210,11,11,9,9,9
AT3G56090,11,12,9,13,11
AT3G25530,10,6,9,10,11
AT5G05010,10,10,9,12,8
AT1G18500,9,9,9,16,10
AT1G56190,9,8,9,11,13
AT2G43770,9,9,9,14,10
AT3G44110,9,13,9,12,8
AT4G03190,9,7,9,13,7
AT4G31300,9,9,9,10,11
AT1G09310,8,6,9,9,6
AT1G65010,8,4,9,14,6
AT2G29320,8,8,9,11,11
AT5G13030,8,3,9,7,9
AT5G16730,8,8,9,13,13
AT1G24020,7,5,9,10,7
AT2G01250,7,6,9,7,6
