Protein,WT,WT,AT5G27240,AT5G27240,AT3G04980,AT3G04980
AT5G27240,0,0,229,158,0,0
AT5G28540,0,20,30,24,43,49
AT1G80070,0,18,24,13,19,19
AT1G52400,0,15,19,12,26,19
AT3G55870,0,22,19,16,23,21
AT5G09590,0,5,12,9,11,10
AT3G49601,0,9,11,4,0,1
AT4G13940,0,2,10,4,12,6
AT4G15900,0,7,10,4,2,1
AT4G24580,0,2,10,15,3,5
AT5G19960,0,10,10,9,3,3
AT5G49910,0,1,10,4,5,2
AT1G07360,0,5,9,3,1,3
AT1G72370,0,3,9,9,8,6
AT3G16470,0,8,9,7,7,6
AT3G44110,0,3,9,5,9,10
AT5G09650,0,4,9,9,3,0
AT1G15930,0,5,8,4,10,10
AT2G38040,0,8,8,0,12,13
AT3G17390,0,4,8,4,24,11
AT4G39660,0,1,8,3,3,2
AT5G13510,0,5,8,1,5,10
AT5G19510,0,7,8,2,10,4
AT5G59970,0,8,7,4,18,22
AT3G07170,0,14,7,4,6,9
AT3G29410,0,13,7,8,12,3
AT3G54210,0,9,7,2,5,12
AT3G58110,0,2,7,4,3,2
AT4G00660,0,2,7,3,4,3
AT5G14320,0,4,7,2,10,10
AT5G28740,0,13,7,9,1,0
AT1G52030,0,4,6,2,8,8
AT1G72610,0,3,6,3,3,3
AT1G77940,0,9,6,5,5,8
AT3G12580,0,0,6,4,15,15
AT3G21810,0,5,6,7,0,1
AT3G63095,0,3,6,2,2,2
AT5G55670,0,3,6,1,8,4
AT3G04400,0,7,5,3,13,15
AT1G17100,0,2,5,0,5,5
AT1G19870,0,4,5,3,3,4
AT1G33120,0,2,5,4,7,5
AT1G53750,0,2,5,1,7,4
AT1G65010,0,3,5,0,6,7
AT1G78900,0,5,5,2,4,4
AT2G19070,0,8,5,6,7,3
AT2G19540,0,7,5,1,4,3
AT2G27630,0,0,5,0,0,0
AT2G33340,0,7,5,9,7,3
AT3G62840,0,5,5,4,1,2
AT3G07010,0,4,5,1,8,3
AT3G07850,0,0,5,3,14,5
AT3G12145,0,2,5,1,10,7
AT3G12800,0,2,5,1,6,8
AT3G24480,0,2,5,0,2,2
AT4G21660,0,4,5,0,3,2
AT4G38630,0,1,5,1,7,4
AT5G47930,0,2,5,0,2,3
AT5G48300,0,0,5,0,5,0
AT5G60790,0,4,5,1,9,4
AT5G65730,0,2,5,3,5,4
AT5G67630,0,4,5,1,4,5
ATCG00780,0,3,5,3,4,6
AT1G01090,0,8,4,1,11,7
AT1G04510,0,2,4,3,2,1
AT1G20440,0,3,4,0,4,2
AT2G34420,0,1,4,2,3,2
AT3G18780,0,4,4,2,5,4
AT1G50920,0,7,4,1,8,7
AT1G57720,0,4,4,4,9,8
AT1G61580,0,7,4,1,12,6
AT1G75940,0,3,4,9,26,31
AT2G01970,0,3,4,4,1,0
AT2G02740,0,2,4,1,6,15
AT4G29040,0,2,4,2,9,6
AT2G21390,0,0,4,0,5,1
AT3G04980,0,0,4,5,281,340
AT3G05070,0,2,4,3,1,2
AT3G15190,0,5,4,3,3,6
AT3G22110,0,1,4,1,4,3
AT3G24080,0,0,4,0,3,6
AT3G54170,0,4,4,0,3,4
AT3G58510,0,0,4,1,7,2
AT4G26110,0,5,4,1,6,5
AT4G30930,0,2,4,1,2,3
AT4G36740,0,2,4,3,2,3
AT4G39330,0,1,4,2,4,2
AT5G22880,0,3,4,2,8,9
AT5G58040,0,2,4,1,1,0
AT5G58230,0,4,4,2,6,6
AT5G61790,0,1,4,2,4,3
AT5G63110,0,1,4,1,3,0
AT5G66190,0,3,4,3,7,7
AT1G05720,0,2,3,0,3,0
AT1G06000,0,1,3,1,3,1
AT5G59850,0,2,3,1,1,5
AT1G08520,0,0,3,0,5,2
AT1G09760,0,4,3,4,1,0
AT1G10580,0,6,3,3,2,2
AT1G11860,0,2,3,4,7,2
AT1G14410,0,4,3,3,4,7
AT1G16870,0,2,3,0,1,1
AT1G19520,0,4,3,0,5,4
AT1G21500,0,1,3,2,1,1
AT1G24260,0,0,3,0,2,4
AT1G33980,0,4,3,1,2,1
AT1G35160,0,2,3,1,3,3
AT3G55750,0,10,3,0,7,10
AT1G56340,0,2,3,3,4,4
AT1G70070,0,0,3,0,0,0
AT1G70200,0,2,3,0,4,3
AT1G72260,0,2,3,4,2,3
AT2G03850,0,2,3,3,2,4
AT2G05920,0,2,3,3,3,7
AT2G06850,0,0,3,1,4,4
AT2G16780,0,3,3,1,4,4
AT2G17560,0,3,3,4,3,1
AT2G19480,0,1,3,1,5,4
AT5G56710,0,3,3,2,5,1
AT2G23350,0,1,3,2,16,5
AT2G24200,0,1,3,0,2,2
AT2G25670,0,2,3,2,2,2
AT2G32730,0,2,3,0,6,3
AT2G33800,0,5,3,2,4,3
AT2G37600,0,3,3,0,2,2
AT2G38540,0,7,3,5,5,4
AT2G41530,0,0,3,1,5,0
AT2G44060,0,1,3,0,2,2
AT2G45640,0,2,3,1,2,2
AT3G04470,0,1,3,2,1,3
AT3G04920,0,3,3,2,6,4
AT3G05850,0,3,3,4,1,4
AT3G06720,0,0,3,0,3,0
AT3G07050,0,1,3,4,2,2
AT3G09350,0,0,3,1,8,8
AT3G11830,0,3,3,0,5,1
AT3G18790,0,4,3,3,2,4
AT3G28790,0,1,3,3,4,1
AT3G28830,0,1,3,2,5,1
AT3G48000,0,0,3,0,0,0
AT3G60240,0,4,3,1,2,2
AT4G05410,0,1,3,2,0,0
AT4G08950,0,2,3,0,3,4
AT4G09320,0,1,3,1,4,3
AT4G14960,0,4,3,2,2,2
AT4G18905,0,3,3,0,4,1
AT4G20890,0,2,3,0,5,4
AT4G21650,0,2,3,1,1,0
AT4G22670,0,0,3,0,4,2
AT4G31340,0,2,3,0,2,3
AT5G06600,0,1,3,1,6,2
AT5G12940,0,6,3,1,2,2
AT5G35360,0,2,3,1,4,3
AT5G36880,0,1,3,0,2,1
AT5G52920,0,0,3,0,7,3
AT5G60960,0,4,3,0,1,5
AT5G64270,0,5,3,4,3,3
ATCG00120,0,2,3,1,5,3
ATCG00480,0,3,3,1,3,3
ATMG00090,0,4,3,0,6,3
AT1G01370,0,0,2,2,0,0
AT1G04680,0,6,2,0,1,2
AT1G06220,0,6,2,4,3,1
AT1G06260,0,0,2,0,3,1
AT1G06680,0,0,2,0,1,0
AT1G09210,0,1,2,0,1,1
AT1G10300,0,1,2,2,0,0
AT5G14670,0,0,2,0,1,0
AT1G11650,0,1,2,2,8,1
AT1G13880,0,1,2,2,1,1
AT1G15340,0,1,2,2,3,1
AT1G16610,0,0,2,0,0,0
AT1G16970,0,3,2,0,5,7
AT1G18450,0,3,2,0,4,3
AT1G19570,0,0,2,0,1,0
AT1G20450,0,4,2,4,3,4
AT1G21690,0,1,2,2,3,4
AT1G72175,0,0,2,0,0,0
AT1G26550,0,3,2,4,1,4
AT1G42970,0,0,2,0,6,1
AT5G43010,0,0,2,0,5,3
AT1G48050,0,1,2,2,9,4
AT1G48610,0,3,2,7,3,8
AT1G48830,0,2,2,0,4,5
AT1G53240,0,2,2,1,2,1
AT1G54220,0,0,2,0,2,1
AT1G56110,0,4,2,6,4,5
AT1G58220,0,0,2,0,0,2
AT1G60640,0,2,2,0,0,2
AT1G62380,0,2,2,0,4,1
AT1G62390,0,4,2,0,5,6
AT1G65960,0,0,2,1,3,1
AT1G66240,0,0,2,0,1,0
AT1G69830,0,1,2,0,11,2
AT1G79280,0,5,2,1,9,9
AT1G79930,0,0,2,0,10,6
AT2G02850,0,1,2,0,3,1
AT2G04030,0,0,2,1,11,0
ATMG00290,0,3,2,1,2,4
AT2G16940,0,1,2,0,3,0
AT2G18960,0,0,2,1,1,0
AT2G19870,0,1,2,2,0,0
AT2G29320,0,2,2,2,4,1
AT2G37230,0,4,2,0,4,7
AT2G38780,0,0,2,0,1,1
AT2G43090,0,1,2,0,4,2
AT2G43650,0,1,2,1,1,1
AT5G16070,0,1,2,0,5,1
AT3G03530,0,2,2,1,3,4
AT3G03570,0,5,2,0,2,0
AT3G05060,0,2,2,9,6,4
AT3G07030,0,2,2,0,4,1
AT3G11510,0,1,2,1,3,3
AT3G11964,0,2,2,0,2,2
AT3G12490,0,1,2,0,2,1
AT3G12780,0,2,2,1,3,2
AT3G13200,0,8,2,4,0,0
AT3G18035,0,3,2,2,4,2
AT3G18240,0,2,2,0,0,3
AT3G47520,0,0,2,0,2,2
AT3G49080,0,1,2,0,2,2
AT3G50670,0,6,2,0,7,8
AT3G52220,0,2,2,0,2,4
AT3G53990,0,0,2,0,1,1
AT3G55620,0,1,2,0,1,2
AT3G56150,0,2,2,1,3,3
AT3G63490,0,2,2,0,6,6
AT4G10750,0,2,2,2,1,2
AT4G23900,0,1,2,0,2,0
AT4G18480,0,0,2,1,1,1
AT4G20360,0,0,2,1,3,1
AT4G21110,0,0,2,3,0,1
AT4G21620,0,1,2,3,2,1
AT4G23630,0,1,2,1,1,1
AT4G23920,0,2,2,0,5,4
AT4G24190,0,0,2,2,0,0
AT4G24510,0,0,2,0,3,0
AT4G25340,0,0,2,2,0,0
AT4G26780,0,0,2,1,0,0
AT4G26840,0,3,2,2,2,1
AT4G27000,0,1,2,1,2,1
AT4G28820,0,1,2,0,0,0
AT4G30160,0,2,2,1,2,1
AT4G30330,0,1,2,1,0,0
AT4G31300,0,1,2,4,2,2
AT4G33010,0,1,2,0,14,6
AT4G34110,0,0,2,1,13,4
AT4G34450,0,0,2,0,2,2
AT4G36680,0,4,2,0,1,2
AT4G38710,0,1,2,1,0,0
AT5G03300,0,0,2,3,6,3
AT5G05780,0,2,2,1,2,2
AT5G12190,0,2,2,0,1,1
AT5G19990,0,0,2,0,6,0
AT5G20890,0,2,2,1,10,5
AT5G22010,0,3,2,1,2,8
AT5G23570,0,0,2,0,0,0
AT5G24420,0,1,2,2,2,0
AT5G26360,0,1,2,2,6,4
AT5G28840,0,0,2,1,4,4
AT5G41770,0,1,2,0,0,0
AT5G42020,0,0,2,1,0,2
AT5G42520,0,3,2,0,1,0
AT5G46290,0,5,2,1,6,3
AT5G56010,0,1,2,1,2,3
AT5G56740,0,2,2,4,12,3
AT5G59845,0,0,2,0,4,0
ATCG00160,0,3,2,0,9,11
ATCG00740,0,1,2,0,4,7
ATCG00800,0,2,2,3,2,4
AT1G01100,0,1,1,0,0,2
AT1G01510,0,0,1,0,0,1
AT1G01620,0,2,1,1,2,1
AT1G01940,0,0,1,1,0,0
AT1G02330,0,1,1,1,0,2
AT1G02813,0,2,1,1,1,2
AT1G03910,0,1,1,0,0,0
AT1G04170,0,1,1,0,4,1
AT1G04690,0,0,1,0,4,1
AT1G07140,0,0,1,1,4,1
AT2G30000,0,0,1,0,2,2
AT1G07210,0,3,1,0,0,1
AT1G07320,0,3,1,0,1,1
AT1G10170,0,2,1,0,1,1
AT1G10200,0,1,1,0,3,1
AT1G12050,0,0,1,0,3,1
AT3G26640,0,1,1,0,1,1
AT1G14380,0,2,1,0,0,0
AT1G14650,0,2,1,0,3,1
AT1G16890,0,0,1,0,1,1
AT1G17720,0,0,1,0,3,3
AT1G73230,0,0,1,0,0,0
AT1G18080,0,0,1,1,3,1
AT1G18840,0,1,1,1,0,1
AT1G19880,0,0,1,2,4,2
AT1G20130,0,0,1,1,2,1
AT1G20630,0,1,1,2,7,1
AT1G20670,0,1,1,0,1,0
AT1G20920,0,1,1,0,2,0
AT1G21750,0,2,1,4,9,3
AT1G24450,0,1,1,0,1,0
AT1G29030,0,1,1,2,1,1
AT1G29370,0,2,1,0,2,0
AT1G29900,0,0,1,2,4,1
AT2G34590,0,0,1,0,2,2
AT1G30580,0,0,1,0,2,0
AT5G44480,0,0,1,1,1,1
AT1G32200,0,0,1,0,4,1
AT1G33410,0,0,1,0,0,1
AT1G33680,0,0,1,0,2,1
AT1G78150,0,0,1,1,1,1
AT1G49760,0,0,1,1,10,5
AT1G52730,0,1,1,1,4,1
AT1G53645,0,1,1,0,1,0
AT1G54080,0,0,1,0,2,0
AT1G54270,0,1,1,0,0,1
AT1G61430,0,0,1,0,0,0
AT1G63160,0,0,1,0,1,2
AT1G63470,0,0,1,0,8,11
AT1G66850,0,0,1,2,3,0
AT1G67230,0,0,1,0,2,2
AT1G68526,0,0,1,0,0,0
AT1G69530,0,1,1,0,3,0
AT1G72290,0,1,1,0,2,0
AT1G73710,0,0,1,1,0,0
AT1G74670,0,0,1,1,0,0
AT1G77750,0,0,1,0,1,4
AT1G78570,0,1,1,0,7,1
AT1G80410,0,1,1,0,3,3
AT1G80930,0,1,1,1,0,0
AT2G03680,0,1,1,0,2,0
AT3G10610,0,6,1,0,6,12
AT4G35830,0,1,1,0,0,0
AT2G07675,0,1,1,0,2,1
ATMG01190,0,0,1,0,1,2
AT2G10940,0,2,1,2,3,2
AT2G16505,0,1,1,1,0,1
AT2G18510,0,1,1,1,5,0
AT2G18740,0,1,1,1,1,3
AT5G56670,0,1,1,0,1,1
AT2G20890,0,1,1,0,2,0
AT5G64990,0,0,1,0,2,1
AT2G24420,0,1,1,1,1,0
AT2G24590,0,1,1,0,2,0
AT2G26210,0,0,1,0,1,0
AT2G27860,0,0,1,0,8,1
AT2G27880,0,3,1,2,2,1
AT2G28290,0,5,1,1,1,1
AT2G28355,0,0,1,3,1,0
AT2G28950,0,3,1,1,2,3
AT2G31980,0,0,1,0,1,0
AT2G33210,0,0,1,0,3,1
AT2G33830,0,1,1,1,0,0
AT2G34640,0,0,1,0,14,12
AT2G36620,0,1,1,1,2,1
AT2G37220,0,0,1,0,2,0
AT2G37990,0,2,1,0,1,0
AT2G38500,0,4,1,0,2,2
AT2G40290,0,0,1,0,2,0
AT2G40300,0,0,1,0,0,1
AT3G59540,0,0,1,0,1,1
AT2G43520,0,2,1,2,2,2
AT2G43550,0,0,1,0,0,3
AT2G43810,0,1,1,1,2,1
AT3G59890,0,0,1,0,3,1
AT2G44160,0,0,1,0,4,0
AT2G44530,0,0,1,0,6,0
AT2G47470,0,0,1,0,2,0
AT2G47940,0,0,1,0,1,0
AT3G01340,0,0,1,0,4,0
AT5G15520,0,0,1,0,4,5
AT3G02260,0,1,1,0,4,1
AT3G02650,0,1,1,1,1,1
AT3G03250,0,0,1,0,0,0
AT3G03780,0,0,1,0,2,0
AT3G05560,0,0,1,2,0,0
AT3G06050,0,0,1,0,0,1
AT3G07660,0,1,1,1,0,1
AT3G08530,0,1,1,0,2,1
AT3G08580,0,1,1,1,1,1
AT3G10850,0,0,1,0,2,1
AT3G11200,0,0,1,0,1,2
AT3G11400,0,0,1,1,3,2
AT3G11710,0,1,1,0,0,0
AT3G12110,0,3,1,0,2,1
AT3G12390,0,1,1,5,0,0
AT3G13300,0,0,1,0,2,0
AT3G13570,0,1,1,0,2,2
AT3G13860,0,0,1,0,1,0
AT3G14067,0,1,1,0,2,1
AT3G16950,0,0,1,0,2,0
AT3G18165,0,2,1,0,1,1
AT3G18190,0,2,1,1,2,1
AT3G18640,0,0,1,0,1,0
AT3G20050,0,0,1,1,2,0
AT3G22200,0,1,1,1,1,0
AT3G22220,0,0,1,0,2,2
AT3G22320,0,0,1,0,3,2
AT3G23620,0,2,1,1,3,3
AT3G24870,0,1,1,1,0,0
AT3G25230,0,0,1,0,3,0
AT3G27160,0,1,1,0,0,0
AT3G45851,0,0,1,0,0,0
AT3G48500,0,0,1,0,6,10
AT5G63570,0,1,1,0,2,1
AT3G49160,0,0,1,0,1,0
AT3G52200,0,1,1,1,4,0
AT3G53110,0,0,1,0,5,1
AT3G56240,0,1,1,0,1,0
AT3G57290,0,0,1,0,2,2
AT3G57560,0,2,1,0,2,1
AT3G58500,0,0,1,1,6,4
AT3G58610,0,0,1,0,2,0
AT3G60300,0,1,1,0,2,1
AT3G61820,0,1,1,0,3,3
AT4G00430,0,1,1,1,2,2
AT4G01850,0,1,1,0,4,0
AT4G02290,0,7,1,0,6,5
AT4G02840,0,1,1,1,2,2
AT4G22240,0,0,1,0,1,1
AT4G10340,0,0,1,1,0,0
AT4G11560,0,0,1,0,0,0
AT4G13230,0,0,1,0,2,0
AT4G13560,0,0,1,1,2,0
AT4G13930,0,0,1,0,5,2
AT4G14716,0,2,1,1,3,1
AT4G17330,0,1,1,0,0,0
AT4G24270,0,1,1,0,2,2
AT4G24820,0,1,1,0,1,0
AT4G25730,0,1,1,2,1,1
AT4G25890,0,0,1,0,2,2
AT5G54430,0,0,1,0,0,0
AT4G28360,0,3,1,1,1,0
AT4G31810,0,1,1,0,3,3
AT4G31840,0,0,1,0,0,2
AT4G32610,0,0,1,0,0,0
AT4G33090,0,0,1,0,4,0
AT4G34870,0,2,1,1,0,0
AT4G36020,0,0,1,0,3,0
AT4G37930,0,1,1,2,2,0
AT4G38740,0,0,1,0,3,0
AT4G39200,0,3,1,0,2,1
AT4G39520,0,0,1,0,1,0
AT5G10980,0,1,1,1,3,5
AT5G02130,0,1,1,0,1,1
AT5G02240,0,2,1,0,4,2
AT5G07410,0,1,1,1,5,2
AT5G08610,0,2,1,1,2,3
AT5G08640,0,1,1,0,3,3
AT5G08690,0,3,1,0,2,1
AT5G09900,0,0,1,1,3,2
AT5G10010,0,1,1,0,1,2
AT5G13520,0,0,1,0,3,0
AT5G14920,0,3,1,0,7,4
AT5G16130,0,3,1,0,5,2
AT5G16310,0,1,1,0,1,1
AT5G16730,0,0,1,2,0,0
AT5G19580,0,1,1,0,3,6
AT5G23540,0,3,1,1,3,3
AT5G23940,0,0,1,1,2,2
AT5G27640,0,1,1,1,6,0
AT5G28050,0,2,1,0,1,2
AT5G39850,0,2,1,0,4,2
AT5G40200,0,2,1,1,5,4
AT5G42790,0,0,1,0,4,0
AT5G43060,0,1,1,0,3,1
AT5G43830,0,1,1,1,3,2
AT5G43990,0,2,1,0,2,2
AT5G44100,0,2,1,0,0,0
AT5G44340,0,2,1,1,1,2
AT5G47690,0,1,1,0,2,2
AT5G51060,0,0,1,1,0,0
AT5G49210,0,1,1,0,2,2
AT5G49930,0,5,1,0,7,4
AT5G51550,0,2,1,1,2,1
AT5G51590,0,1,1,0,5,6
AT5G52650,0,1,1,1,1,1
AT5G52820,0,1,1,3,1,2
AT5G54160,0,2,1,0,4,1
AT5G57950,0,1,1,0,0,0
AT5G58290,0,0,1,0,5,1
AT5G59310,0,0,1,0,1,0
AT5G62340,0,1,1,0,1,1
AT5G62790,0,0,1,0,1,0
AT5G62930,0,0,1,0,1,1
AT5G63140,0,2,1,0,3,1
AT5G64160,0,0,1,0,0,0
AT5G65220,0,3,1,0,3,5
AT5G66540,0,1,1,0,3,0
AT5G67350,0,0,1,0,1,0
ATCG00170,0,4,1,0,21,29
ATCG00180,0,0,1,0,9,11
ATCG00500,0,0,1,0,5,0
ATCG00650,0,1,1,0,3,5
ATCG00820,0,1,1,1,0,0
ATCG01060,0,0,1,0,2,2
ATCG01120,0,1,1,0,3,3
AT1G02050,0,1,0,0,1,0
AT1G02930,0,0,0,0,5,0
AT1G03475,0,0,0,0,2,3
AT1G04880,0,0,0,0,2,2
AT1G05190,0,1,0,1,0,1
AT1G05520,0,0,0,0,1,0
AT1G06290,0,0,0,0,3,0
AT1G06670,0,2,0,0,2,1
AT1G06720,0,0,0,0,3,0
AT1G07790,0,0,0,0,1,4
AT1G07830,0,2,0,0,2,2
AT1G09620,0,0,0,0,6,1
AT1G09640,0,0,0,0,2,0
AT1G59830,0,0,0,0,2,0
AT1G10840,0,0,0,0,2,0
AT1G11240,0,1,0,0,1,2
AT1G11910,0,1,0,1,3,4
AT1G12380,0,0,0,0,0,2
AT1G12840,0,0,0,0,3,0
AT1G12920,0,0,0,0,2,0
AT1G13270,0,0,0,0,2,0
AT1G13280,0,0,0,0,2,0
AT2G02760,0,0,0,0,2,2
AT1G14610,0,0,0,0,1,0
AT1G14900,0,1,0,0,2,3
AT1G15440,0,0,0,0,4,2
AT1G15750,0,0,0,0,2,1
AT1G17290,0,0,0,0,2,1
AT1G18250,0,0,0,0,1,2
AT1G20200,0,2,0,2,11,7
AT1G76030,0,0,0,0,1,0
AT1G21600,0,0,0,0,4,5
AT1G22960,0,0,0,0,0,1
AT1G23820,0,0,0,0,2,0
AT1G24050,0,0,0,0,1,1
AT1G24160,0,1,0,0,0,0
AT1G24706,0,1,0,0,1,1
AT1G25155,0,0,0,0,2,0
AT1G26480,0,0,0,0,3,0
AT1G27310,0,0,0,0,2,0
AT1G27650,0,1,0,0,2,2
AT1G28290,0,2,0,0,3,2
AT1G29150,0,0,0,0,3,0
AT1G29260,0,0,0,0,1,0
AT1G29965,0,0,0,0,2,2
AT1G29990,0,0,0,0,1,0
AT1G31080,0,0,0,0,2,4
AT1G31760,0,1,0,0,0,0
AT1G31970,0,0,0,0,2,1
AT1G33040,0,0,0,1,0,0
AT1G35720,0,0,0,0,2,1
AT1G43190,0,0,0,0,2,0
AT1G47490,0,0,0,0,0,0
AT1G47970,0,1,0,4,0,0
AT1G48620,0,0,0,0,6,17
AT1G48860,0,0,0,0,1,0
AT1G49130,0,0,0,0,0,0
AT1G49600,0,0,0,0,3,1
AT1G50020,0,0,0,0,0,1
AT1G51060,0,0,0,0,0,2
AT3G15980,0,0,0,0,2,1
AT1G52380,0,0,0,0,1,0
AT1G52740,0,0,0,0,1,2
AT1G52980,0,0,0,0,7,3
AT2G42600,0,1,0,0,2,0
AT1G53800,0,0,0,0,1,0
AT1G54490,0,2,0,0,1,0
AT1G70320,0,0,0,0,2,1
AT1G59760,0,2,0,0,4,3
AT1G60620,0,0,0,0,2,2
AT1G60770,0,0,0,0,0,1
AT1G61730,0,0,0,0,6,10
AT1G63480,0,0,0,0,2,6
AT1G63640,0,0,0,0,2,1
AT1G63680,0,0,0,0,4,6
AT1G63940,0,0,0,2,0,0
AT1G64040,0,0,0,0,1,1
AT1G64980,0,0,0,0,4,2
AT1G65150,0,0,0,0,3,0
AT1G69200,0,0,0,0,3,5
AT1G69410,0,0,0,0,2,0
AT1G70090,0,0,0,0,0,1
AT1G71040,0,2,0,0,1,1
AT1G71310,0,0,0,0,3,1
AT1G74690,0,1,0,0,2,1
AT1G74850,0,0,0,0,6,5
AT1G75240,0,0,0,0,2,2
AT1G75910,0,2,0,3,6,11
AT1G75930,0,1,0,1,9,15
AT1G75990,0,0,0,0,1,0
AT1G76110,0,0,0,0,1,1
AT1G76350,0,0,0,0,0,1
AT1G76810,0,1,0,0,2,1
AT1G78380,0,1,0,0,3,1
AT1G78650,0,0,0,2,0,0
AT1G79340,0,0,0,0,4,0
AT1G79530,0,0,0,0,2,0
AT1G79920,0,0,0,0,1,0
AT1G80460,0,0,0,0,2,0
AT2G01530,0,0,0,0,2,0
AT2G03150,0,4,0,0,3,3
AT2G03440,0,1,0,0,1,0
AT2G04570,0,0,0,0,0,1
AT2G04690,0,0,0,0,6,1
ATMG01270,0,0,0,0,0,2
AT2G13360,0,0,0,0,3,0
AT2G14120,0,0,0,0,1,0
AT2G14850,0,0,0,1,0,0
AT2G14880,0,0,0,1,0,0
AT2G17420,0,0,0,0,4,1
AT2G18040,0,0,0,2,1,1
AT2G18900,0,0,0,0,4,2
AT2G19570,0,0,0,0,2,0
AT2G20060,0,1,0,0,4,2
AT2G20450,0,1,0,0,1,0
AT2G20490,0,1,0,6,2,1
AT2G20597,0,1,0,2,0,0
AT2G21270,0,0,0,0,1,0
AT2G24270,0,0,0,0,5,0
AT2G24490,0,0,0,0,1,1
AT2G25110,0,0,0,0,1,0
AT2G26080,0,0,0,0,1,2
AT2G28900,0,1,0,0,0,0
AT2G30200,0,0,0,0,1,0
AT2G31320,0,0,0,0,3,9
AT2G32060,0,0,0,0,2,4
AT2G32650,0,0,0,0,2,0
AT2G33620,0,0,0,0,4,3
AT2G34860,0,0,0,3,2,0
AT2G35530,0,0,0,0,9,6
AT2G35840,0,0,0,0,2,0
AT2G36130,0,0,0,2,0,0
AT2G36460,0,1,0,1,4,0
AT3G52990,0,0,0,0,4,0
AT2G36870,0,0,0,0,3,1
AT3G53260,0,0,0,0,5,1
AT2G37270,0,1,0,0,1,0
AT3G53500,0,0,0,0,1,1
AT2G38750,0,0,0,10,0,0
AT2G38760,0,0,0,17,0,0
AT2G39140,0,0,0,0,0,3
AT2G39795,0,0,0,0,1,1
AT2G40030,0,0,0,0,1,0
AT2G40430,0,0,0,1,1,0
AT2G40490,0,0,0,0,1,0
AT2G41475,0,0,0,1,1,0
AT2G41740,0,0,0,0,3,0
AT2G42710,0,0,0,0,0,1
AT2G42910,0,1,0,0,2,0
AT2G43970,0,0,0,0,2,1
AT2G44065,0,1,0,0,1,1
AT2G44350,0,0,0,0,5,3
AT2G44860,0,1,0,0,0,0
AT2G45710,0,1,0,0,0,1
AT2G45820,0,0,0,2,0,0
AT2G45850,0,0,0,0,2,3
AT2G46610,0,0,0,0,2,0
AT2G47250,0,2,0,0,2,1
AT2G47580,0,1,0,0,2,2
AT3G01790,0,1,0,0,1,1
AT3G02760,0,0,0,0,2,0
AT3G03920,0,0,0,1,0,0
AT5G18190,0,2,0,0,0,0
AT3G04260,0,0,0,0,11,16
AT3G04590,0,0,0,0,11,7
AT3G04610,0,0,0,0,3,0
AT3G04980,0,0,0,0,1,1
AT3G05420,0,0,0,0,1,1
AT3G06530,0,0,0,0,3,2
AT3G06580,0,0,0,0,4,0
AT3G06850,0,0,0,0,2,1
AT3G07370,0,0,0,0,1,1
